channel,channel_idx,addicted_mean,healthy_mean,t_statistic,p_value,cohens_d,auc_score,discriminability,task
F3,12,162.90349146207586,162.4934709529144,0.007764682120716383,0.9939323349385181,0.004482941312562576,0.42857142857142855,2.7200986374909892e-05,EO
T7,14,145.1097177630475,145.0575480234331,0.0010402069660978006,0.9991871277097468,0.0006005637718887979,0.36734693877551017,4.881816486983325e-07,EO
C3,13,46.028223129105605,182.39063531432933,-2.1831718217926563,0.04961118962210092,-1.2604548389980308,0.22448979591836737,1.1979221749704048,H
C4,4,42.97103902813931,99.88292240034727,-1.8830112329530406,0.08415908989820782,-1.0871570422304502,0.26530612244897955,0.995662894979908,H
Fp2,8,387.0827646440309,610.6327258713014,-1.660297633627083,0.12273905756371432,-0.9585732857090841,0.20408163265306123,0.840918904015398,H
Cz,5,1.1264194655444029,6.397164892221016,-1.5088371278123154,0.1572111999011749,-0.8711275218913445,0.3469387755102041,0.7341765189078692,H
T8,3,107.87740458151526,165.61671849733594,-1.3202382994716988,0.21138436201721092,-0.7622399375934327,0.2857142857142857,0.6011143346812062,H
P8,2,188.4250842243719,123.38837929297343,1.2688114139607813,0.22856808977617707,0.7325486114003017,0.7142857142857143,0.5651113746243437,H
P3,16,58.787962878836176,100.71644984220053,-1.1660373513933726,0.26625192317653834,-0.673211978711041,0.24489795918367346,0.4939679946737435,H
Fz,6,154.0572918521832,98.69386406957305,0.939437445131024,0.36603188981568224,0.5423844618326796,0.673469387755102,0.34385445226140215,H
F8,9,197.61894011854642,246.95461595511802,-0.9099344742311712,0.380770897449097,-0.5253509136417279,0.326530612244898,0.32531257477866415,H
O1,17,130.97650448057126,185.4498832957742,-0.7848469079576411,0.4477612671250807,-0.45313157358161266,0.326530612244898,0.25023680602032805,H
Fp1,10,462.01146163101424,605.9972953051708,-0.7309066316415618,0.4788651514297253,-0.42198914053061465,0.36734693877551017,0.21991324684872224,H
P4,0,99.222189048199,150.48525400920107,-0.7240604401155631,0.4829064456497171,-0.4180364900099384,0.2857142857142857,0.2161639744673556,H
F4,7,139.07785339454838,178.9435991653568,-0.6417841412672904,0.5330813364089002,-0.3705342467219585,0.40816326530612246,0.1730093552941517,H
Pz,18,20.759416074119002,13.207647267310021,0.5615945214995156,0.584728516881603,0.3242367481617723,0.489795918367347,0.13464627529062537,H
P7,15,161.11077199682103,131.0280517574776,0.5410661537938467,0.5983629471185241,0.3123846895419485,0.5306122448979592,0.125465266072923,H
O2,1,158.76235620431075,141.24962656206452,0.4369330334281804,0.6699189227376479,0.25226340446723633,0.5510204081632654,0.08326737630041382,H
F7,11,204.49855148452366,191.9666817338623,0.21598862786550632,0.8326244784919036,0.12470109243992389,0.40816326530612246,0.0208719103797616,H
T7,14,131.10237771000587,135.2355091634581,-0.09034824046793687,0.9295010299048225,-0.05216258095490656,0.36734693877551017,0.003677408234827231,H
F3,12,170.27276032517779,174.93685405224778,-0.08011021786154764,0.9374701138832209,-0.04625165584715823,0.4285714285714286,0.0028921107728352652,H
C3,13,41.52959593768872,172.17059485709538,-2.5627690623925186,0.024874443589700482,-1.4796154080414894,0.10204081632653061,1.4428107980397098,C
